,n_loans,loan_amount,med_income,n_restaurants,tot_pop,pct_white_alone,pct_black,pct_amind,pct_asian,pct_hispanic,state,aland10,zip,pct_with_loan
486,33,3359668.82,73164.0,54,8389.0,89.9,2.7,0.1,2.9,0.9,MA,27756366,02540,0.6111111111111112
488,7,906600.0,82100.0,7,745.0,100.0,0.0,0.0,0.0,0.0,MA,25727687,02543,1.0
493,50,3349968.56,64306.0,115,59401.0,71.0,5.1,3.6,2.1,10.6,OK,58190313,73160,0.43478260869565216
496,3,68800.0,39236.0,8,4793.0,46.3,52.7,0.0,0.0,0.0,MS,355742452,39422,0.375
497,5,341526.0,37120.0,9,6622.0,87.4,6.3,0.0,1.1,4.0,KY,229195028,42127,0.5555555555555556
499,21,568080.0,76229.0,46,42471.0,10.5,7.9,0.3,57.0,22.1,CA,6210533,94134,0.45652173913043476
500,11,1318493.3,153077.0,16,7291.0,39.7,5.1,1.3,39.3,15.3,CA,1800349,94158,0.6875
502,70,7713074.890000001,105334.0,84,10842.0,85.2,6.8,0.3,0.9,4.7,MA,104506079,02554,0.8333333333333334
503,5,343933.0,42570.0,23,15506.0,96.1,0.6,0.2,0.8,1.2,MI,878396333,48624,0.21739130434782608
504,5,34724.68,35363.0,9,6954.0,94.6,1.2,0.1,0.4,1.3,KY,525871386,42129,0.5555555555555556
506,49,8767582.649999999,153733.0,108,17191.0,65.0,1.9,0.2,22.0,5.2,CA,6141698,94301,0.4537037037037037
507,7,505857.0,103680.0,39,48039.0,24.2,7.6,0.6,18.4,40.0,CA,20630668,94303,0.1794871794871795
508,3,286205.0,54653.0,18,15730.0,47.1,3.9,0.3,27.6,14.6,CA,13281865,94305,0.16666666666666666
509,49,7744212.43,142438.0,84,27549.0,51.1,1.6,0.5,35.7,6.7,CA,10860457,94306,0.5833333333333334
510,88,14193715.37,89176.0,174,35414.0,32.3,3.0,0.5,19.0,36.4,CA,8257745,94401,0.5057471264367817
511,18,4551801.0,155078.0,34,25764.0,57.4,1.4,0.1,22.2,14.0,CA,12595901,94402,0.5294117647058824
512,12,623096.05,98247.0,23,20306.0,23.0,7.7,0.8,36.0,27.8,CA,33465479,94503,0.5217391304347826
513,8,1200184.0,114977.0,6,16251.0,66.4,5.0,1.2,6.3,17.9,CA,41074733,94505,1.3333333333333333
514,28,2968321.02,205121.0,35,25258.0,63.1,1.4,0.0,24.2,7.4,CA,48524400,94506,0.8
515,13,1837719.0,226450.0,24,15646.0,80.8,0.7,0.2,8.1,6.2,CA,32880246,94507,0.5416666666666666
517,9,257850.0,50412.0,31,32269.0,51.9,13.6,0.8,5.8,21.7,CA,10156381,95842,0.2903225806451613
518,10,474080.65,36658.0,23,12717.0,89.7,2.5,0.6,0.2,7.2,MI,185048113,48801,0.43478260869565216
520,7,392165.0,38210.0,22,13487.0,24.0,71.1,0.1,0.4,3.5,MS,52737197,39563,0.3181818181818182
526,1,92300.0,74792.0,3,5930.0,92.3,0.7,0.1,0.6,2.6,MI,63852276,48808,0.3333333333333333
527,3,211188.2,51018.0,13,10789.0,94.9,0.2,0.0,0.1,2.3,MI,212472812,48809,0.23076923076923078
528,14,1458646.0699999998,45208.0,19,10752.0,90.0,7.5,0.0,0.0,2.1,KY,686341114,42445,0.7368421052631579
529,66,4425298.49,59834.0,79,39909.0,76.8,9.8,0.2,3.6,6.5,MS,137509889,39564,0.8354430379746836
531,4,79648.0,52077.0,6,3058.0,93.0,2.7,0.4,3.5,0.4,TN,128409524,37352,0.6666666666666666
535,10,537174.52,36262.0,28,17438.0,90.9,2.0,0.4,0.0,5.6,TN,298747734,37354,0.35714285714285715
537,4,68592.05,61041.0,4,18193.0,91.3,3.8,0.2,0.7,2.4,MS,455634342,39426,1.0
539,17,1054773.5,48337.0,37,17543.0,84.6,9.7,0.6,0.8,3.2,KY,549584248,42134,0.4594594594594595
541,2,65133.05,43802.0,4,5323.0,71.6,20.3,0.3,0.2,5.1,MI,162738439,48811,0.5
542,1,48558.15,32183.0,3,3947.0,83.9,10.3,0.1,0.0,0.2,KY,154384675,42450,0.3333333333333333
543,5,109315.62,63537.0,10,19704.0,85.7,5.4,0.7,2.6,4.4,MS,722425233,39565,0.5
547,18,1067079.1099999999,42770.0,34,11113.0,64.7,25.7,0.4,0.1,7.5,MS,34441835,39567,0.5294117647058824
548,11,619411.27,62050.0,31,20972.0,92.4,0.9,0.7,0.4,4.2,MI,439810214,48813,0.3548387096774194
550,2,30230.0,31564.0,14,13005.0,95.4,0.7,0.5,0.5,1.2,MI,622638730,48625,0.14285714285714285
553,26,1529392.1,56795.0,77,26707.0,86.8,1.5,0.3,1.4,7.9,IA,80719436,51106,0.33766233766233766
558,49,3863281.79,106833.0,74,20875.0,76.8,7.2,0.2,10.9,3.1,NC,24908894,27518,0.6621621621621622
559,41,1885904.79,130337.0,75,55111.0,52.5,7.1,0.6,32.4,4.7,NC,56309446,27519,0.5466666666666666
560,35,3362704.39,49482.0,86,33908.0,61.8,23.8,0.5,3.8,6.9,GA,74686731,31904,0.4069767441860465
561,32,2408770.0,65190.0,59,40611.0,66.0,20.6,0.6,0.6,11.7,NC,189017503,27520,0.5423728813559322
562,4,319822.62,44231.0,6,6111.0,73.6,8.2,0.0,0.1,14.6,NC,67240127,27521,0.6666666666666666
563,9,195539.06,65589.0,24,11861.0,66.2,18.8,0.7,1.1,9.3,NC,187390017,27522,0.375
565,4,231239.47,55910.0,5,14366.0,71.4,22.0,0.3,1.5,2.9,GA,419903362,30461,0.8
566,4,124497.41,59983.0,8,5367.0,81.8,0.2,0.3,3.5,13.1,IA,116060115,51108,0.5
567,1,54100.0,53586.0,5,6206.0,92.5,1.7,0.0,0.0,4.1,MI,153059484,48817,0.2
569,10,302440.45,51474.0,15,6386.0,93.5,2.4,0.8,1.2,0.8,IA,386650185,51012,0.6666666666666666
573,2,12000.0,49189.0,6,2051.0,97.7,0.3,0.0,0.0,0.7,IL,276961193,61028,0.3333333333333333
574,43,2152455.8200000003,63228.0,101,28229.0,25.8,17.0,0.5,24.2,28.1,CA,25784173,95834,0.42574257425742573
575,30,1719428.0,96743.0,43,40101.0,34.2,15.0,1.0,25.8,17.3,CA,23131552,95835,0.6976744186046512
